config_tag,classifier,fold_id,repeat,fold,outer_seed,best_ell,best_k,best_gamma,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc
N4G4,SVM,r3f1,2,0,2,0.31622776601683794,,0.025118864315095794,10.0,0.7291666666666666,25,12,13,96,48,48,10,9,3,3,0.76,0.7596153846153846,0.7692307692307693,0.75,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.9294871794871795,0.5192307692307693
N4G4,SVM,r3f2,2,1,2,0.31622776601683794,,0.1,100.0,0.7303921568627452,24,12,12,97,48,49,10,7,5,2,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.8472222222222223,0.43033148291193524
N4G4,SVM,r3f3,2,2,2,0.31622776601683794,,0.1,100.0,0.7824754901960785,24,12,12,97,48,49,9,9,3,3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8541666666666666,0.5
N4G4,SVM,r3f4,2,3,2,1.0,,0.00630957344480193,10.0,0.7830882352941176,24,12,12,97,48,49,9,8,4,3,0.7083333333333334,0.7083333333333333,0.75,0.6666666666666666,0.6923076923076923,0.75,0.72,0.7916666666666666,0.4181210050035454
N4G4,SVM,r3f5,2,4,2,1.0,,0.00630957344480193,100.0,0.7414215686274509,24,12,12,97,48,49,9,7,5,3,0.6666666666666666,0.6666666666666667,0.75,0.5833333333333334,0.6428571428571429,0.75,0.6923076923076923,0.736111111111111,0.3380617018914066
N4G4,SVM,r4f1,3,0,3,0.1,,0.1,100.0,0.7916666666666666,25,12,13,96,48,48,11,8,4,2,0.76,0.7564102564102564,0.8461538461538461,0.6666666666666666,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.8141025641025641,0.5229763603684907
N4G4,SVM,r4f2,3,1,3,0.31622776601683794,,0.025118864315095794,10.0,0.7107843137254902,24,12,12,97,48,49,10,6,6,2,0.6666666666666666,0.6666666666666667,0.8333333333333334,0.5,0.625,0.8333333333333334,0.7142857142857143,0.8194444444444445,0.3535533905932738
N4G4,SVM,r4f3,3,2,3,0.1,,0.1,100.0,0.7414215686274509,24,12,12,97,48,49,10,9,3,2,0.7916666666666666,0.7916666666666667,0.8333333333333334,0.75,0.7692307692307693,0.8333333333333334,0.8,0.9305555555555556,0.5853694070049635
N4G4,SVM,r4f4,3,3,3,1.0,,0.025118864315095794,100.0,0.7438725490196078,24,12,12,97,48,49,9,8,4,3,0.7083333333333334,0.7083333333333333,0.75,0.6666666666666666,0.6923076923076923,0.75,0.72,0.763888888888889,0.4181210050035454
N4G4,SVM,r4f5,3,4,3,1.0,,0.025118864315095794,100.0,0.7205882352941176,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8125000000000001,0.50709255283711
N4G4,SVM,r5f1,4,0,4,1.0,,0.00630957344480193,10.0,0.65625,25,12,13,96,48,48,12,9,3,1,0.84,0.8365384615384616,0.9230769230769231,0.75,0.8,0.9230769230769231,0.8571428571428571,0.9230769230769231,0.6864064729836441
N4G4,SVM,r5f2,4,1,4,0.03162277660168379,,0.1,100.0,0.6599264705882353,24,12,12,97,48,49,11,10,2,1,0.875,0.875,0.9166666666666666,0.8333333333333334,0.8461538461538461,0.9166666666666666,0.88,0.9166666666666667,0.7526178090063816
N4G4,SVM,r5f3,4,2,4,0.1,,0.1,100.0,0.6268382352941176,24,12,12,97,48,49,10,11,1,2,0.875,0.875,0.8333333333333334,0.9166666666666666,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9027777777777779,0.7526178090063816
N4G4,SVM,r5f4,4,3,4,1.0,,0.00630957344480193,100.0,0.8449754901960785,24,12,12,97,48,49,5,5,7,7,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5486111111111112,-0.16666666666666666
N4G4,SVM,r5f5,4,4,4,1.0,,0.025118864315095794,100.0,0.7628676470588235,24,12,12,97,48,49,9,5,7,3,0.5833333333333334,0.5833333333333334,0.75,0.4166666666666667,0.5625,0.75,0.6428571428571429,0.6875,0.1767766952966369
