config_tag,classifier,fold_id,repeat,fold,outer_seed,best_ell,best_k,best_gamma,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc
N3G3,KNN,r3f3,2,2,2,0.03162277660168379,7,,,0.7408088235294118,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.826388888888889,0.50709255283711
N3G3,KNN,r3f4,2,3,2,1.0,3,,,0.6905637254901961,24,12,12,97,48,49,8,7,5,4,0.625,0.625,0.6666666666666666,0.5833333333333334,0.6153846153846154,0.6666666666666666,0.64,0.6458333333333334,0.2508726030021272
N3G3,KNN,r3f5,2,4,2,0.01,5,,,0.6703431372549019,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.826388888888889,0.50709255283711
N3G3,KNN,r4f1,3,0,3,0.31622776601683794,9,,,0.7083333333333334,25,12,13,96,48,48,11,5,7,2,0.64,0.6314102564102564,0.8461538461538461,0.4166666666666667,0.6111111111111112,0.8461538461538461,0.7096774193548387,0.6987179487179487,0.2924396698824572
N3G3,KNN,r4f2,3,1,3,0.001,1,,,0.7107843137254902,24,12,12,97,48,49,6,8,4,6,0.5833333333333334,0.5833333333333333,0.5,0.6666666666666666,0.6,0.5,0.5454545454545454,0.5833333333333334,0.1690308509457033
N3G3,KNN,r4f3,3,2,3,0.1,1,,,0.7015931372549019,24,12,12,97,48,49,7,9,3,5,0.6666666666666666,0.6666666666666667,0.5833333333333334,0.75,0.7,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.3380617018914066
N3G3,KNN,r4f4,3,3,3,1.0,1,,,0.6678921568627452,24,12,12,97,48,49,11,8,4,1,0.7916666666666666,0.7916666666666666,0.9166666666666666,0.6666666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.7916666666666667,0.6024640760767094
N3G3,KNN,r4f5,3,4,3,0.01,5,,,0.7426470588235294,24,12,12,97,48,49,8,6,6,4,0.5833333333333334,0.5833333333333333,0.6666666666666666,0.5,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.7430555555555556,0.1690308509457033
N3G3,KNN,r5f1,4,0,4,0.1,1,,,0.65625,25,12,13,96,48,48,10,8,4,3,0.72,0.717948717948718,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.717948717948718,0.4387188079786328
N3G3,KNN,r5f2,4,1,4,0.001,1,,,0.7199754901960785,24,12,12,97,48,49,6,7,5,6,0.5416666666666666,0.5416666666666667,0.5,0.5833333333333334,0.5454545454545454,0.5,0.5217391304347826,0.5416666666666666,0.08362420100070908
N3G3,KNN,r5f3,4,2,4,0.1,1,,,0.6482843137254902,24,12,12,97,48,49,9,9,3,3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5
