config_tag,classifier,fold_id,repeat,fold,outer_seed,best_ell,best_k,best_gamma,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc,best_T,best_rho,n_test_composition,n_test_adhd_composition,n_test_control_composition,class_balance_adhd,duration_mean,duration_std,duration_min,duration_max,duration_range,duration_mean_adhd,duration_mean_ctrl,duration_gap_adhd_minus_ctrl
N5G5,RKHS-KNN,r1f1,0,0,0,0.001,3.0,,,0.7292,25,12,13,96,48,48,11,6,6,2,0.68,0.6731,0.8462,0.5,0.6470588235294118,0.8462,0.7333,0.859,0.3707,,,25,13,12,0.52,139.05904,55.1402558704316,81.656,337.906,256.25,153.25053846153847,123.68491666666667,29.565621794871802
N5G5,RKHS-KNN,r1f2,0,1,0,0.003162,7.0,,,0.7623,24,12,12,97,48,49,9,7,5,3,0.6667,0.6667,0.75,0.5833,0.6428571428571429,0.75,0.6923,0.7222,0.3381,,,24,12,12,0.5,143.67525,56.15350360763827,62.367,276.0,213.633,156.019,131.3315,24.6875
N5G5,RKHS-KNN,r1f3,0,2,0,0.3162,3.0,,,0.6795,24,12,12,97,48,49,9,11,1,3,0.8333,0.8333,0.75,0.9167,0.9,0.75,0.8182,0.9792,0.6761,,,24,12,12,0.5,135.37212499999998,33.2956763250158,84.875,212.164,127.28899999999999,139.278,131.46625,7.811749999999989
N5G5,RKHS-KNN,r1f4,0,3,0,0.01,1.0,,,0.8339,24,12,12,97,48,49,7,6,6,5,0.5417,0.5417,0.5833,0.5,0.5384615384615384,0.5833,0.56,0.5417,0.0836,,,24,12,12,0.5,139.97783333333334,42.722653941405625,76.742,262.266,185.524,158.27666666666667,121.67900000000002,36.597666666666655
N5G5,RKHS-KNN,r1f5,0,4,0,0.001,3.0,,,0.6991,24,12,12,97,48,49,9,5,7,3,0.5833,0.5833,0.75,0.4167,0.5625,0.75,0.6429,0.8125,0.1768,,,24,12,12,0.5,141.32458333333332,54.51068565680827,81.852,304.922,223.07000000000002,166.25716666666668,116.392,49.86516666666668
N5G5,RKHS-KNN,r2f1,1,0,1,0.1,1.0,,,0.7083,25,12,13,96,48,48,10,6,6,3,0.64,0.6346,0.7692,0.5,0.625,0.7692,0.6897,0.6346,0.2802,,,25,13,12,0.52,124.92932,54.5458432450173,72.547,337.906,265.35900000000004,135.27638461538461,113.71999999999998,21.55638461538463
N5G5,RKHS-KNN,r2f2,1,1,1,1.0,9.0,,,0.761,24,12,12,97,48,49,10,6,6,2,0.6667,0.6667,0.8333,0.5,0.625,0.8333,0.7143,0.7917,0.3536,,,24,12,12,0.5,145.37083333333334,38.12269416167918,62.367,219.375,157.008,154.39658333333335,136.34508333333335,18.051500000000004
N5G5,RKHS-KNN,r2f3,1,2,1,0.003162,9.0,,,0.731,24,12,12,97,48,49,11,9,3,1,0.8333,0.8333,0.9167,0.75,0.7857142857142857,0.9167,0.8462,0.8681,0.6761,,,24,12,12,0.5,146.8315,54.47872162437448,81.852,304.922,223.07000000000002,159.26891666666668,134.39408333333336,24.874833333333328
N5G5,RKHS-KNN,r2f4,1,3,1,0.03162,1.0,,,0.712,24,12,12,97,48,49,8,10,2,4,0.75,0.75,0.6667,0.8333,0.8,0.6667,0.7273,0.75,0.5071,,,24,12,12,0.5,154.294625,56.42873842814839,84.875,276.0,191.125,187.42958333333334,121.15966666666668,66.26991666666666
N5G5,RKHS-KNN,r2f5,1,4,1,0.1,3.0,,,0.6691,24,12,12,97,48,49,11,8,4,1,0.7917,0.7917,0.9167,0.6667,0.7333333333333333,0.9167,0.8148,0.8715,0.6025,,,24,12,12,0.5,128.57129166666667,29.750063230446756,76.969,189.008,112.03900000000002,138.20775,118.93483333333332,19.27291666666669
N5G5,RKHS-KNN,r3f1,2,0,2,0.3162,9.0,,,0.7083,25,12,13,96,48,48,11,9,3,2,0.8,0.7981,0.8462,0.75,0.7857142857142857,0.8462,0.8148,0.859,0.6,,,25,13,12,0.52,148.91500000000002,53.16893227487271,62.367,304.922,242.55500000000004,160.75407692307692,136.08933333333331,24.66474358974361
N5G5,RKHS-KNN,r3f2,2,1,2,0.03162,1.0,,,0.69,24,12,12,97,48,49,10,7,5,2,0.7083,0.7083,0.8333,0.5833,0.6666666666666666,0.8333,0.7407,0.7083,0.4303,,,24,12,12,0.5,138.69958333333332,55.48505024184965,81.852,337.906,256.054,155.9655,121.43366666666668,34.53183333333331
N5G5,RKHS-KNN,r3f3,2,2,2,0.001,3.0,,,0.7316,24,12,12,97,48,49,9,9,3,3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.7639,0.5,,,24,12,12,0.5,136.72629166666667,36.05145767598595,84.93,236.508,151.578,144.09966666666668,129.3529166666667,14.746749999999992
N5G5,RKHS-KNN,r3f4,2,3,2,0.01,1.0,,,0.7322,24,12,12,97,48,49,10,5,7,2,0.625,0.625,0.8333,0.4167,0.5882352941176471,0.8333,0.6897,0.625,0.275,,,24,12,12,0.5,140.98575,44.12828991873778,77.297,262.266,184.96900000000002,162.97600000000003,118.99549999999999,43.980500000000035
N5G5,RKHS-KNN,r3f5,2,4,2,0.001,1.0,,,0.7335,24,12,12,97,48,49,9,9,3,3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,,,24,12,12,0.5,133.67154166666668,53.411099081825895,72.547,276.0,203.453,148.66083333333333,118.68225,29.978583333333333
N5G5,RKHS-KNN,r4f1,3,0,3,0.1,9.0,,,0.75,25,12,13,96,48,48,10,7,5,3,0.68,0.6763,0.7692,0.5833,0.6666666666666666,0.7692,0.7143,0.7821,0.3595,,,25,13,12,0.52,149.061,58.00218394523319,76.969,304.922,227.95300000000003,164.20976923076927,132.6498333333333,31.559935897435963
N5G5,RKHS-KNN,r4f2,3,1,3,0.03162,1.0,,,0.7623,24,12,12,97,48,49,9,6,6,3,0.625,0.625,0.75,0.5,0.6,0.75,0.6667,0.625,0.2582,,,24,12,12,0.5,135.3835,42.05152569635619,72.547,267.117,194.57000000000002,142.1256666666667,128.64133333333334,13.484333333333353
