fold_id,balanced_accuracy_rkhs,balanced_accuracy_ppk,config_tag,classifier
r3f2,0.8333333333333333,0.8333333333333334,N5G5,SVM
r3f3,0.7916666666666667,0.625,N5G5,SVM
r3f4,0.625,0.8333333333333333,N5G5,SVM
r3f5,0.7083333333333334,0.7083333333333333,N5G5,SVM
r4f1,0.7564102564102564,0.5961538461538461,N5G5,SVM
r4f2,0.5,0.7916666666666666,N5G5,SVM
r4f3,0.75,0.75,N5G5,SVM
r4f4,0.625,0.6666666666666667,N5G5,SVM
r4f5,0.7083333333333334,0.625,N5G5,SVM
r5f1,0.7948717948717949,0.8782051282051282,N5G5,SVM
r5f2,0.6666666666666667,0.7916666666666667,N5G5,SVM
r5f3,0.7916666666666666,0.875,N5G5,SVM
r5f4,0.4583333333333333,0.5833333333333334,N5G5,SVM
r5f5,0.5833333333333334,0.5,N5G5,SVM
